Kepa Arrizabalaga GK Chelsea 23 5 34 10 10 10 10 10 84 84 80 80 76
Robert Green GK Chelsea 38 5 46 10 10 10 10 10 73 74 70 72 60
Andreas Christensen DF Chelsea 22 5 69 70 31 84 63 72 10 10 10 10 10 
Antonio Rudiger DF Chelsea 25 5 73 81 40 81 67 77 10 10 10 10 10
Gary Cahill DF Chelsea 32 5 47 60 58 83 53 76 10 10 10 10 10
Davide Zappacosta DF Chelsea 26 5 77 75 66 76 72 74 10 10 10 10 10
David Luiz DF Chelsea 31 5 61 71 65 82 73 77 10 10 10 10 10
Marcos Alonso DF Chelsea 27 5 73 77 73 80 78 79 10 10 10 10 10
Cesar Azpilicueta DF Chelsea 29 5 76 74 55 87 78 77 10 10 10 10 10
Victor Moses MD Chelsea 27 5 78 80 70 73 74 71 10 10 10 10 10
Jorginho Frello MD Chelsea 26 5 72 82 64 69 84 71 10 10 10 10 10 
Marco Ginkel MD Chelsea 25 5 66 76 77 70 77 73 10 10 10 10 10
Mateo Kovacic MD Chelsea 24 5 79 86 69 69 82 72 10 10 10 10 10
NGolo Kante MD Chelsea 27 5 80 81 66 87 77 84 10 10 10 10 10
Ross Barkley MD Chelsea 24 5 70 81 72 54 76 73 10 10 10 10 10
Ruben Loftus-Cheek MD Chelsea 22 5 71 79 62 61 75 78 10 10 10 10 10
Francesc Fabregas MD Chelsea 31 5 55 80 74 60 88 58 10 10 10 10 10
Eden Hazard ST Chelsea 27 5 92 95 84 37 88 68 10 10 10 10 10
Alvaro Morata ST Chelsea 25 5 82 79 79 31 71 71 10 10 10 10 10
Olivier Giroud ST Chelsea 31 5 47 74 82 42 71 79 10 10 10 10 10
Pedro Ledesma ST Chelsea 31 5 76 83 77 43 77 56 10 10 10 10 10
Willian Borges ST Chelsea 30 5 88 86 77 49 80 62 10 10 10 10 10
Bernd Leno GK Arsenal 26 5 46 10 10 10 10 10 84 82 82 85 73
Petr Cech GK Arsenal 36 5 35 10 10 10 10 10 78 79 82 83 70
Sokratis Papastathopoulos DF Arsenal 30 5 69 61 51 84 50 82 10 10 10 10 10
Hector Bellerin DF Arsenal 23 5 93 77 51 75 68 66 10 10 10 10 10
Laurent Koscielny DF Arsenal 33 5 65 65 41 82 62 75 10 10 10 10 10
Stephan Lichtsteiner DF Arsenal 34 5 71 76 58 79 72 74 10 10 10 10 10
Nacho Monreal DF Arsenal 32 5 69 75 58 80 71 70 10 10 10 10 10
Shkodran Mustafi DF Arsenal 26 5 62 62 57 81 64 77 10 10 10 10 10
Sead Kolasinac DF Arsenal 25 5 72 70 62 77 65 87 10 10 10 10 10 
Mohamed Elneny MD Arsenal 26 5 59 71 62 73 73 75 10 10 10 10 10
Henrikh Mkhitaryan MD Arsenal 29 5 82 85 78 52 79 69 10 10 10 10 10 
Aaron Ramsey MD Arsenal 27 5 67 80 76 67 79 74 10 10 10 10 10
Mesut Ozil MD Arsenal 29 5 70 84 73 24 86 58 10 10 10 10 10
Lucas Torreira MD Arsenal 30 5 77 78 80 32 76 69 10 10 10 10 10
Ainsley Maitland-Niles MD Arsenal 21 5 82 72 59 60 68 65 10 10 10 10 10
Matteo Guendouzi MD Arsenal 19 5 63 66 60 63 68 65 10 10 10 10 10
Granit Xhaka MD Arsenal 25 5 48 71 65 69 79 76 10 10 10 10 10 
Alexandre Lacazette ST Arsenal 27 5 81 84 82 40 72 72 10 10 10 10 10 
Pierre-Emerick Aubameyang ST Arsenal 29 5 94 80 84 37 75 70 10 10 10 10 10 
Alex Iwobi ST Arsenal 22 5 77 80 62 28 70 64 10 10 10 10 10 
Danny Welbeck ST Arsenal 27 5 80 77 74 43 70 75 10 10 10 10 10
